"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"HoogRisicoOpAngstOfDepressie_25"
"216851";"53115";"MW00000";"BU06130313";"2022JJ00";"5.1"
"216855";"53115";"MW00000";"WK061304  ";"2022JJ00";"8.8"
"216859";"53115";"MW00000";"BU06130414";"2022JJ00";"7.7"
"216863";"53115";"MW00000";"BU06130415";"2022JJ00";"8.4"
"216867";"53115";"MW00000";"BU06130416";"2022JJ00";"5.9"
"216871";"53115";"MW00000";"BU06130417";"2022JJ00";"11.6"
"216875";"53115";"MW00000";"BU06130418";"2022JJ00";"8.8"
"216879";"53115";"MW00000";"BU06130419";"2022JJ00";"9.6"
"216883";"53115";"MW00000";"BU06130420";"2022JJ00";"7.2"
"216887";"53115";"MW00000";"WK061305  ";"2022JJ00";"6.4"
"216891";"53115";"MW00000";"BU06130521";"2022JJ00";
"216895";"53115";"MW00000";"BU06130522";"2022JJ00";"6.3"
"216899";"53115";"MW00000";"WK061306  ";"2022JJ00";"9"
"216903";"53115";"MW00000";"BU06130623";"2022JJ00";"9.6"
"216907";"53115";"MW00000";"BU06130624";"2022JJ00";"8.3"
"216911";"53115";"MW00000";"BU06130625";"2022JJ00";"5.6"
"216915";"53115";"MW00000";"BU06130626";"2022JJ00";"9.1"
"216919";"53115";"MW00000";"WK061307  ";"2022JJ00";
"216923";"53115";"MW00000";"BU06130706";"2022JJ00";
"216927";"53115";"MW00000";"GM0361    ";"2022JJ00";"12.8"
"216931";"53115";"MW00000";"WK036101  ";"2022JJ00";"12.6"
"216935";"53115";"MW00000";"BU03610100";"2022JJ00";"18.5"
"216939";"53115";"MW00000";"BU03610101";"2022JJ00";"12.6"
"216943";"53115";"MW00000";"BU03610102";"2022JJ00";"15.2"
"216947";"53115";"MW00000";"BU03610103";"2022JJ00";"18.4"
"216951";"53115";"MW00000";"BU03610104";"2022JJ00";"9.3"
"216955";"53115";"MW00000";"BU03610105";"2022JJ00";"9.1"
"216959";"53115";"MW00000";"BU03610106";"2022JJ00";"8.2"
"216963";"53115";"MW00000";"BU03610107";"2022JJ00";"8"
"216967";"53115";"MW00000";"BU03610108";"2022JJ00";"13.6"
"216971";"53115";"MW00000";"BU03610109";"2022JJ00";"7.5"
"216975";"53115";"MW00000";"WK036102  ";"2022JJ00";"11.9"
"216979";"53115";"MW00000";"BU03610200";"2022JJ00";"9.5"
"216983";"53115";"MW00000";"BU03610201";"2022JJ00";"10.1"
"216987";"53115";"MW00000";"BU03610202";"2022JJ00";"8"
"216991";"53115";"MW00000";"BU03610203";"2022JJ00";"13.2"
"216995";"53115";"MW00000";"BU03610204";"2022JJ00";"21"
"216999";"53115";"MW00000";"BU03610205";"2022JJ00";"10.8"
"217003";"53115";"MW00000";"BU03610206";"2022JJ00";"13"
"217007";"53115";"MW00000";"BU03610208";"2022JJ00";"6.7"
"217011";"53115";"MW00000";"BU03610209";"2022JJ00";"10.6"
"217015";"53115";"MW00000";"WK036103  ";"2022JJ00";"19.8"
"217019";"53115";"MW00000";"BU03610300";"2022JJ00";"16.4"
"217023";"53115";"MW00000";"BU03610301";"2022JJ00";"15.1"
"217027";"53115";"MW00000";"BU03610302";"2022JJ00";"26.3"
"217031";"53115";"MW00000";"BU03610303";"2022JJ00";"15.4"
"217035";"53115";"MW00000";"BU03610308";"2022JJ00";
"217039";"53115";"MW00000";"BU03610309";"2022JJ00";
"217043";"53115";"MW00000";"WK036104  ";"2022JJ00";"13.3"
"217047";"53115";"MW00000";"BU03610400";"2022JJ00";"17"
"217051";"53115";"MW00000";"BU03610401";"2022JJ00";"13.5"
"217055";"53115";"MW00000";"BU03610402";"2022JJ00";"10.8"
"217059";"53115";"MW00000";"BU03610403";"2022JJ00";"11.5"
"217063";"53115";"MW00000";"BU03610404";"2022JJ00";"8.9"
"217067";"53115";"MW00000";"BU03610409";"2022JJ00";"16.4"
"217071";"53115";"MW00000";"WK036105  ";"2022JJ00";"13.7"
"217075";"53115";"MW00000";"BU03610500";"2022JJ00";"15.1"
"217079";"53115";"MW00000";"BU03610501";"2022JJ00";"23"
"217083";"53115";"MW00000";"BU03610502";"2022JJ00";"10.1"
"217087";"53115";"MW00000";"BU03610503";"2022JJ00";"13.8"
"217091";"53115";"MW00000";"WK036106  ";"2022JJ00";"13.7"
"217095";"53115";"MW00000";"BU03610600";"2022JJ00";"11.2"
"217099";"53115";"MW00000";"BU03610601";"2022JJ00";"13.7"
"217103";"53115";"MW00000";"BU03610602";"2022JJ00";"13.1"
"217107";"53115";"MW00000";"BU03610603";"2022JJ00";"13.1"
"217111";"53115";"MW00000";"BU03610604";"2022JJ00";"19.2"
"217115";"53115";"MW00000";"WK036107  ";"2022JJ00";"12"
"217119";"53115";"MW00000";"BU03610700";"2022JJ00";"11"
"217123";"53115";"MW00000";"BU03610701";"2022JJ00";"15.9"
"217127";"53115";"MW00000";"BU03610702";"2022JJ00";"11.7"
"217131";"53115";"MW00000";"BU03610703";"2022JJ00";"11.1"
"217135";"53115";"MW00000";"BU03610704";"2022JJ00";"10"
"217139";"53115";"MW00000";"BU03610709";"2022JJ00";"7.4"
"217143";"53115";"MW00000";"WK036108  ";"2022JJ00";"13"
"217147";"53115";"MW00000";"BU03610800";"2022JJ00";"14.4"
"217151";"53115";"MW00000";"BU03610801";"2022JJ00";"12.5"
"217155";"53115";"MW00000";"BU03610802";"2022JJ00";"12.5"
"217159";"53115";"MW00000";"BU03610803";"2022JJ00";"9.5"
"217163";"53115";"MW00000";"WK036109  ";"2022JJ00";"8.3"
"217167";"53115";"MW00000";"BU03610900";"2022JJ00";"7.5"
"217171";"53115";"MW00000";"BU03610901";"2022JJ00";"5.5"
"217175";"53115";"MW00000";"BU03610902";"2022JJ00";"8.7"
"217179";"53115";"MW00000";"BU03610903";"2022JJ00";"9.1"
"217183";"53115";"MW00000";"BU03610904";"2022JJ00";"7.3"
"217187";"53115";"MW00000";"BU03610905";"2022JJ00";"6"
"217191";"53115";"MW00000";"BU03610906";"2022JJ00";"8.4"
"217195";"53115";"MW00000";"WK036110  ";"2022JJ00";"8.7"
"217199";"53115";"MW00000";"BU03611000";"2022JJ00";"6.7"
"217203";"53115";"MW00000";"BU03611001";"2022JJ00";"8.1"
"217207";"53115";"MW00000";"BU03611002";"2022JJ00";"7.3"
"217211";"53115";"MW00000";"BU03611003";"2022JJ00";"9.3"
"217215";"53115";"MW00000";"BU03611004";"2022JJ00";"7.2"
"217219";"53115";"MW00000";"BU03611005";"2022JJ00";"6.8"
"217223";"53115";"MW00000";"BU03611006";"2022JJ00";"8.4"
"217227";"53115";"MW00000";"WK036111  ";"2022JJ00";"11"
"217231";"53115";"MW00000";"BU03611100";"2022JJ00";"10.7"
"217235";"53115";"MW00000";"BU03611101";"2022JJ00";"11.5"
"217239";"53115";"MW00000";"GM0141    ";"2022JJ00";"13.9"
"217243";"53115";"MW00000";"WK014110  ";"2022JJ00";"17.8"
"217247";"53115";"MW00000";"BU01411000";"2022JJ00";"16.3"
"217251";"53115";"MW00000";"BU01411001";"2022JJ00";"16.9"
"217255";"53115";"MW00000";"BU01411002";"2022JJ00";"20.3"
